noc21_code_name,posting_count,total_vacancies,valid_salary_postings,median_hourly_salary,salary_coverage_percentage,cluster,cluster_name
Insurance underwriters,49,52,5,37.25961538461539,10.2,1,"Higher salary, limited salary coverage"
"Insurance, real estate and financial brokerage managers",169,169,11,43.269230769230774,6.5,1,"Higher salary, limited salary coverage"
Interior designers and interior decorators,103,108,61,27.64423076923077,59.2,0,"Moderate demand, strong salary coverage"
Ironworkers,26,71,26,36.0,100.0,0,"Moderate demand, strong salary coverage"
"Janitors, caretakers and heavy-duty cleaners",294,344,148,20.575,50.3,0,"Moderate demand, strong salary coverage"
Journalists,66,66,2,22.76923076923077,3.0,1,"Higher salary, limited salary coverage"
Kinesiologists and other professional occupations in therapy and assessment,57,57,46,28.923076923076923,80.7,0,"Moderate demand, strong salary coverage"
Labourers in food and beverage processing,137,866,102,18.525,74.5,0,"Moderate demand, strong salary coverage"
Labourers in metal fabrication,73,93,42,23.25,57.5,0,"Moderate demand, strong salary coverage"
"Labourers in wood, pulp and paper processing",26,65,21,20.25,80.8,0,"Moderate demand, strong salary coverage"
Land surveyors,26,28,3,36.5,11.5,1,"Higher salary, limited salary coverage"
Landscape and horticulture technicians and specialists,291,379,143,27.0,49.1,1,"Higher salary, limited salary coverage"
Landscaping and grounds maintenance labourers,192,544,147,22.5,76.6,0,"Moderate demand, strong salary coverage"
Lawyers and Quebec notaries,261,262,54,51.68269230769231,20.7,1,"Higher salary, limited salary coverage"
Legal administrative assistants,230,242,135,25.92,58.7,0,"Moderate demand, strong salary coverage"
Library and public archive technicians,21,21,17,29.633653846153845,81.0,0,"Moderate demand, strong salary coverage"
Licensed practical nurses,1014,1407,521,37.44,51.4,1,"Higher salary, limited salary coverage"
Light duty cleaners,1138,1664,864,19.0,75.9,0,"Moderate demand, strong salary coverage"
Livestock labourers,208,594,200,17.5,96.2,0,"Moderate demand, strong salary coverage"
Machining tool operators,108,130,38,25.5,35.2,1,"Higher salary, limited salary coverage"
Machinists and machining and tooling inspectors,277,384,180,30.0,65.0,0,"Moderate demand, strong salary coverage"
Mail and parcel sorters and related occupations,20,21,2,16.77,10.0,1,"Higher salary, limited salary coverage"
Managers in customer and personal services,58,65,55,35.0,94.8,0,"Moderate demand, strong salary coverage"
Managers in health care,56,56,14,37.86057692307692,25.0,1,"Higher salary, limited salary coverage"
Managers in natural resources production and fishing,29,29,14,39.66346153846153,48.3,1,"Higher salary, limited salary coverage"
