noc21_code_name,posting_count,total_vacancies,valid_salary_postings,median_hourly_salary,salary_coverage_percentage,cluster,cluster_name
Service station attendants,25,32,15,17.4,60.0,0,"Moderate demand, strong salary coverage"
Sheet metal workers,62,120,51,33.5,82.3,0,"Moderate demand, strong salary coverage"
Shippers and receivers,527,566,267,21.0,50.7,0,"Moderate demand, strong salary coverage"
Social and community service workers,532,1044,417,25.0,78.4,0,"Moderate demand, strong salary coverage"
"Social policy researchers, consultants and program officers",43,49,32,32.97,74.4,0,"Moderate demand, strong salary coverage"
Social workers,350,418,153,34.59423076923077,43.7,1,"Higher salary, limited salary coverage"
Software developers and programmers,1043,1108,154,46.151923076923076,14.8,1,"Higher salary, limited salary coverage"
Software engineers and designers,366,401,118,44.97596153846154,32.2,1,"Higher salary, limited salary coverage"
Specialists in clinical and laboratory medicine,76,133,53,156.25,69.7,1,"Higher salary, limited salary coverage"
Specialized cleaners,243,326,132,20.48,54.3,0,"Moderate demand, strong salary coverage"
Specialized livestock workers and farm machinery operators,86,205,49,23.0,57.0,0,"Moderate demand, strong salary coverage"
"Steamfitters, pipefitters and sprinkler system installers",69,80,39,37.0,56.5,1,"Higher salary, limited salary coverage"
"Store shelf stockers, clerks and order fillers",1058,1135,104,17.5,9.8,1,"Higher salary, limited salary coverage"
Storekeepers and partspersons,409,447,253,20.0,61.9,0,"Moderate demand, strong salary coverage"
Structural metal and platework fabricators and fitters,45,69,39,28.5,86.7,0,"Moderate demand, strong salary coverage"
"Student monitors, crossing guards and related occupations",183,1444,146,25.235,79.8,0,"Moderate demand, strong salary coverage"
"Supervisors, finance and insurance office workers",150,154,65,34.16,43.3,1,"Higher salary, limited salary coverage"
"Supervisors, food and beverage processing",65,81,55,31.5,84.6,0,"Moderate demand, strong salary coverage"
"Supervisors, general office and administrative support workers",201,204,86,32.35,42.8,1,"Higher salary, limited salary coverage"
"Supervisors, motor transport and other ground transit operators",88,112,79,37.0,89.8,0,"Moderate demand, strong salary coverage"
"Supervisors, petroleum, gas and chemical processing and utilities",20,20,12,42.46211538461539,60.0,1,"Higher salary, limited salary coverage"
"Supervisors, supply chain, tracking and scheduling coordination occupations",415,444,278,30.0,67.0,0,"Moderate demand, strong salary coverage"
"Support occupations in accommodation, travel and facilities set-up services",22,24,16,18.09,72.7,0,"Moderate demand, strong salary coverage"
Survey interviewers and statistical clerks,32,225,32,16.0,100.0,0,"Moderate demand, strong salary coverage"
"Tailors, dressmakers, furriers and milliners",44,61,31,19.0,70.5,0,"Moderate demand, strong salary coverage"
Taxi and limousine drivers and chauffeurs,121,145,13,23.0,10.7,1,"Higher salary, limited salary coverage"
Technical sales specialists - wholesale trade,277,300,100,35.0,36.1,1,"Higher salary, limited salary coverage"
Technical writers,39,40,7,32.45192307692308,17.9,1,"Higher salary, limited salary coverage"
Telecommunications equipment installation and cable television service technicians,79,117,69,32.0,87.3,0,"Moderate demand, strong salary coverage"
Telecommunications line and cable installers and repairers,21,40,18,33.5,85.7,0,"Moderate demand, strong salary coverage"
Therapists in counselling and related specialized therapies,172,213,141,36.05769230769231,82.0,0,"Moderate demand, strong salary coverage"
Tilesetters,71,140,70,34.212500000000006,98.6,0,"Moderate demand, strong salary coverage"
Tool and die makers,30,33,17,33.0,56.7,0,"Moderate demand, strong salary coverage"
Traditional Chinese medicine practitioners and acupuncturists,72,74,57,50.5,79.2,0,"Moderate demand, strong salary coverage"
Transport truck drivers,2143,4671,1096,29.25,51.1,2,"Very high demand, lower salary"
Transportation route and crew schedulers,27,27,16,22.5,59.3,0,"Moderate demand, strong salary coverage"
Travel counsellors,30,33,24,20.0,80.0,0,"Moderate demand, strong salary coverage"
University professors and lecturers,45,49,32,55.28846153846154,71.1,1,"Higher salary, limited salary coverage"
Upholsterers,23,61,22,24.5075,95.7,0,"Moderate demand, strong salary coverage"
Urban and land use planners,269,269,67,42.04,24.9,1,"Higher salary, limited salary coverage"
User support technicians,239,268,121,30.0,50.6,1,"Higher salary, limited salary coverage"
Veterinarians,37,59,23,58.89423076923077,62.2,1,"Higher salary, limited salary coverage"
Water and waste treatment plant operators,53,68,28,36.3725,52.8,1,"Higher salary, limited salary coverage"
Web designers,53,61,46,34.25,86.8,0,"Moderate demand, strong salary coverage"
Web developers and programmers,222,240,116,37.5,52.3,1,"Higher salary, limited salary coverage"
Welders and related machine operators,555,841,348,28.5,62.7,0,"Moderate demand, strong salary coverage"
Woodworking machine operators,27,43,15,23.0,55.6,0,"Moderate demand, strong salary coverage"
